2026/04/08 13:02:37 ✓ Connected to database
2026/04/08 13:02:37 ✓ Connected to storage
2026/04/08 13:02:37 🚀 Server starting on port 3000

 ┌───────────────────────────────────────────────────┐ 
 │                   AquaBook API                    │ 
 │                  Fiber v2.52.12                   │ 
 │               http://127.0.0.1:3000               │ 
 │       (bound on host 0.0.0.0 and port 3000)       │ 
 │                                                   │ 
 │ Handlers ............ 95  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ........... 1150551 │ 
 └───────────────────────────────────────────────────┘ 

17:12:23 | 200 |    3.617673ms | 127.0.0.1 | GET | /api/v1/marketplace | -
17:12:38 | 401 |   13.993585ms | 127.0.0.1 | POST | /api/auth/login | -
17:12:38 | 401 |     901.516µs | 127.0.0.1 | POST | /api/auth/login | -
17:12:38 | 401 |      23.905µs | 127.0.0.1 | POST | /api/v1/marketplace | -
17:12:43 | 401 |    1.209064ms | 127.0.0.1 | POST | /api/auth/login | -
17:12:49 | 201 |   67.957472ms | 127.0.0.1 | POST | /api/auth/register | -
17:12:58 | 201 |   11.186316ms | 127.0.0.1 | POST | /api/v1/marketplace | -
17:13:12 | 201 |   10.000646ms | 127.0.0.1 | POST | /api/v1/marketplace | -
17:13:12 | 201 |    1.635146ms | 127.0.0.1 | POST | /api/v1/marketplace | -
17:13:12 | 201 |    1.482548ms | 127.0.0.1 | POST | /api/v1/marketplace | -
17:13:12 | 200 |    2.460336ms | 127.0.0.1 | GET | /api/v1/marketplace | -
17:13:18 | 200 |    1.537872ms | 127.0.0.1 | GET | /api/v1/marketplace | -
17:13:18 | 200 |    10.72061ms | 127.0.0.1 | GET | /api/v1/marketplace/e689fda3-83fb-4f98-a4a6-821166429ec0 | -
17:13:25 | 200 |   11.424273ms | 127.0.0.1 | POST | /api/v1/marketplace/e689fda3-83fb-4f98-a4a6-821166429ec0/favorite | -
17:13:40 | 200 |    3.760621ms | 127.0.0.1 | POST | /api/v1/marketplace/upload-photo | -
17:17:32 | 404 |      45.576µs | 127.0.0.1 | POST | /api/v1/auth/login | Cannot POST /api/v1/auth/login
17:17:32 | 200 |     1.66994ms | 127.0.0.1 | GET | /api/v1/marketplace | -
17:17:32 | 401 |      20.248µs | 127.0.0.1 | PUT | /api/v1/marketplace/e689fda3-83fb-4f98-a4a6-821166429ec0 | -
17:17:38 | 404 |      40.717µs | 127.0.0.1 | POST | /api/v1/auth/login | Cannot POST /api/v1/auth/login
17:17:41 | 404 |       31.78µs | 127.0.0.1 | GET | /api/v1/health | Cannot GET /api/v1/health
17:17:52 | 200 |    10.07713ms | 127.0.0.1 | GET | /api/v1/marketplace | -
17:17:59 | 405 |      33.202µs | 127.0.0.1 | POST | /api/v1/users/login | Method Not Allowed
17:17:59 | 401 |      51.627µs | 127.0.0.1 | PUT | /api/v1/marketplace/07c41d55-39b6-4f79-93a5-5b8a0a054751 | -
17:18:08 | 404 |      35.126µs | 127.0.0.1 | POST | /api/v1/auth/login | Cannot POST /api/v1/auth/login
17:18:11 | 404 |      22.732µs | 127.0.0.1 | GET | / | Cannot GET /
17:18:33 | 401 |    1.065424ms | 127.0.0.1 | POST | /api/auth/login | -
17:18:33 | 401 |      27.502µs | 127.0.0.1 | PUT | /api/v1/marketplace/07c41d55-39b6-4f79-93a5-5b8a0a054751 | -
17:18:38 | 401 |     873.754µs | 127.0.0.1 | POST | /api/auth/login | -
18:37:01 | 200 |      53.541µs | 127.0.0.1 | GET | /health | -
18:42:09 | 404 |      92.845µs | 127.0.0.1 | GET | /api/v1/messages/conversations | Cannot GET /api/v1/messages/conversations
